name,type,price,area,price_per_sqm,maturity
"X3 PROTECTED LAND, ROADSIDE AND OCEAN VIEWS!",Mainland,3999,512,7.81,General
CUTE LITTLE ROADSIDE,Mainland,3999,512,7.81,General
UNBLOCKABLE 512 FOR SALE,Mainland,3999,640,6.25,General
Dance Show Plazma,Mainland,4000,1024,3.91,General
Tat's Place,Mainland,4000,512,7.81,General
FOR SALE! Flat Grass ROADSIDE!,Mainland,4050,2048,1.98,General
Land for sale!,Mainland,4096,4096,1.0,General
Hillside Lake Overlook - Kalifornia Estates,Mainland,4096,1024,4.0,General
2026-04-03 : Land for Sale!,Mainland,4096,4096,1.0,General
Land for sale!,Mainland,4096,4096,1.0,General
LAND FOR SALE,Mainland,4096,3872,1.06,General
~G~ Historic Terraforming Xtra Prims - www.timoda…,Mainland,4111,512,8.03,General
~G~ Historic Terraforming Xtra Prims - www.timoda…,Mainland,4111,512,8.03,General
896 sqm 2 sides Protected Snow for Sale or Rent H…,Mainland,4399,896,4.91,General
Protected Channel - Sailable - Water/Ground - 112…,Mainland,4400,1120,3.93,General
Rare Opportunity: The Jewel of the Second Life Co…,Mainland,4400,880,5.0,General
32x32 PROTECTED & UNBLOCKABLE OPEN OCEANFRONT,Mainland,4500,1024,4.39,General
MarkLand * 1024 sqm Land for SALE or RENT in Cran…,Mainland,4567,1024,4.46,General
1024sqm Sailable Protected Timandra 2,Mainland,4653,1024,4.54,General
~G~ www.timodaehlie.com - PROTECTED OCEAN VIEW ~G~,Mainland,4711,1152,4.09,General
~ 1x Protected Sailable Waterway - Available for …,Mainland,4989,1024,4.87,General
PROTECTED Historical Roadside Crown Jewel of All …,Mainland,4990,1024,4.87,General
=G= 1x Protected Ocean View - Rent L$240 Week ==,Mainland,4991,1024,4.87,General
~~~~1024 Protected Road Mainland 32x32 + Rezz Zone,Mainland,4995,1024,4.88,General
~~~1024 Protected Road Mainland,Mainland,4995,1024,4.88,General
1024 Protected Road Mainland 32x32 Fully Landscap…,Mainland,4995,1024,4.88,General
PROTECTED WATERFRONT  512,Mainland,4999,512,9.76,General
Boreal Lakeside !,Mainland,5000,880,5.68,General
Blue Hamnet,Mainland,5000,1024,4.88,General
x2 PROTECTED ROADSIDE AND OCEAN V IEW,Mainland,5000,1024,4.88,General
yours,Mainland,5000,1024,4.88,General
ICE FORGE-LAB,Mainland,5000,1024,4.88,General
Dam View - Kalifornia Estates,Mainland,5120,1024,5.0,General
Dam View - Kalifornia Estates,Mainland,5120,1024,5.0,General
Rare Opportunity: The Jewel of the Second Life Co…,Mainland,5150,1024,5.03,General
Land for Sale!,Mainland,5200,5120,1.02,General
Land for Sale!,Mainland,5200,5072,1.03,General
Bonus Classic 80m Terraform (G)  528 /1X,Mainland,5253,528,9.95,General
Protected Waterchannel - 2048 sqm - 703 prims - 5…,Mainland,5400,2048,2.64,General
~~~~~~~~~~~~~~~~~~protected oceanview 1024 www.pa…,Mainland,5528,1152,4.8,General
Am Wasser 3840,Mainland,5555,3840,1.45,General
Tropical Beach,Mainland,5980,2048,2.92,General
Flat Grass Protected Roadside  on Route 8B,Mainland,5999,2000,3.0,General
Balystran,Mainland,6000,512,11.72,General
For Sale - Gourdneck Dooohoooom on da Water,Mainland,6000,2560,2.34,General
Roadside Land,Mainland,6000,1024,5.86,General
"Pryeri (208,16) General 1024m",Mainland,6000,1024,5.86,General
"James (166,22) General 1536m",Mainland,6000,1536,3.91,General
Waterfront Beach,Mainland,6020,2048,2.94,General
=G= 1x Protected Ocean View - Rent L$125 Week ==,Mainland,6111,512,11.94,General
Land for sale!,Mainland,6144,3072,2.0,General
Protected Waterchannel - 2064 sqm - 708 prims - 5…,Mainland,6300,2064,3.05,General
LAND 4 SALE,Mainland,6500,2048,3.17,General
Road Protected Beauty (G)~LIFE Properties  672 /R…,Mainland,6551,672,9.75,General
1024sqm Sailable 2x Protected,Mainland,6625,1024,6.47,General
Traumparzelle 2048,Mainland,6666,2048,3.25,General
- PROTECTED Roadside Storefront Circuit la Corse,Mainland,6850,1024,6.69,General
Great Protected River view( G)~LIFE Properties  1…,Mainland,6911,1024,6.75,General
Boating Waterfront 1024sm  with house,Mainland,7000,1024,6.84,General
Hellish,Mainland,7000,2048,3.42,General
=G= 1x Protected Ocean View Grid Edge - Rent L$12…,Mainland,7111,512,13.89,General
~ 1x Protected Lake View - Available for Rent ~,Mainland,7111,928,7.66,General
Unnamed Parcel,Mainland,7500,512,14.65,General
- Fully Furnished Snow Retreat - Move in ready!,Mainland,7500,1024,7.32,General
Protected Waterfront - 3840 sqm - 1318 prims - Re…,Mainland,7700,3840,2.01,General
Protected Beauty (G)~LIFE Properties  1024 /2A,Mainland,7731,1024,7.55,General
Bonus Coastal Roadside (G)~LIFE Properties  1536 …,Mainland,7999,1536,5.21,General
Protected Roadside 1024sqm - Daikoku [G],Mainland,8000,1024,7.81,General
K2,Mainland,8000,1024,7.81,General
Land for Sale!,Mainland,8000,7824,1.02,General
- Historic Ganymede Powerhouse Roadside,Mainland,8500,1024,8.3,General
Unnamed Parcel,Mainland,8544,8544,1.0,General
Protected Waterway - Beautiful www.pansland.com,Mainland,8898,2048,4.34,General
Coleus,Mainland,8900,3072,2.9,General
Great Protected River view( G)~LIFE Properties  1…,Mainland,8959,1024,8.75,General
2048 Protected Road Beach Mainland Level Plot,Mainland,8995,2048,4.39,General
Fujisan's @Tinder,Mainland,9000,1024,8.79,General
Fujisan's @Tinder,Mainland,9000,1024,8.79,General
bip,Mainland,9500,1024,9.28,General
FOR SALE-PROTECTED-SAILING,Mainland,9500,1024,9.28,General
- Roadside Double Storefront,Mainland,9750,1024,9.52,General
- Large Roadside Modern Ranch,Mainland,9800,1072,9.14,General
"~~~~~Protected Roadside, Rt 7",Mainland,9800,2048,4.79,General
Great Protected River view( G)~LIFE Properties  1…,Mainland,9859,1360,7.25,General
Classic 80m Terraform (G)  1024 /2X,Mainland,9983,1024,9.75,General
For Rent/Sale long protected waterfront >125L$/W,Mainland,9990,512,19.51,General
~ 1x Protected Navigable Riverfront - Available f…,Mainland,9991,1536,6.5,General
2048 UNBLOCKABLE FLAT LOT,Mainland,9999,1024,9.76,General
X3 PROTECTED WATERFRONT,Mainland,9999,1024,9.76,General
For Rent/Sale long protected waterfront >125L$/W,Mainland,9999,512,19.53,General
1024 UNBLOCKABLE OCEAN VIEWS,Mainland,9999,1024,9.76,General
PROTECTED PRIVATE BEACH,Mainland,9999,1024,9.76,General
Small Test  AREA,Mainland,10000,1024,9.77,General
For sale,Mainland,10000,768,13.02,General
Home Away From Home,Mainland,10000,1024,9.77,General
The Aura's,Mainland,10000,3072,3.26,General
2048m,Mainland,10000,2048,4.88,General
"special, quiet hill, nice view 1516 prims",Mainland,10000,4416,2.26,General
Varean 1024 Roadside,Mainland,10000,1024,9.77,General
Biffle - Protected,Mainland,10000,2272,4.4,General
Quiet hIstorical roadside parcel,Mainland,10000,512,19.53,General
1024 Beautiful Oceanview,Mainland,10000,1024,9.77,General
Rascal's Flat,Mainland,10000,9440,1.06,General
Reduced Beautiful Waterfront For Sale,Mainland,10000,1024,9.77,General
~~~ Protected Roadside - RENTAL $250L/week,Mainland,10000,1120,8.93,General
Great Bonus Roadside (G)~LIFE Properties  1536 /R…,Mainland,10060,1536,6.55,General
Bonus Good Roadside (G)~LIFE Properties  1536 /Rd…,Mainland,10367,1536,6.75,General
Nadejdae,Mainland,11111,1024,10.85,General
Roadside,Mainland,11650,944,12.34,General
Great Protected River view( G)~LIFE Properties  1…,Mainland,11759,1344,8.75,General
Great Country Roadside (G)~LIFE Properties  2048 …,Mainland,11775,2048,5.75,General
PROTECTED Sailable Waterway Sale OR Rent 351 prim…,Mainland,11999,1024,11.72,General
2xprotected roadside/waterfront parcel,Mainland,12000,3920,3.06,General
for sale,Mainland,12000,512,23.44,General
a2048m,Mainland,12000,2048,5.86,General
Prime Waterfront for Sale - 2048 sq m,Mainland,12000,2048,5.86,General
EC Miru,Mainland,12000,1616,7.43,General
1792m,Mainland,12000,1792,6.7,General
Latino Life residencia,Mainland,12397,1024,12.11,General
2x Protected Beauty (G)~LIFE Properties  1424 /2,Mainland,12459,1424,8.75,General
*Mystery Roadside (G)~LIFE Properties  1680 /Rd 3,Mainland,12683,1680,7.55,General
~ 1x Protected Navigable Waterway - Available for…,Mainland,12991,2048,6.34,General
Winter Cottage on 1024 sqm for sale!,Mainland,13000,1024,12.7,General
Protected Waterfront Island for Sale,Mainland,13500,1024,13.18,General
Protected Roadside Parcel in historical Vari. Rar…,Mainland,13500,5984,2.26,General
1520 sqm SALE/RENT Roadside - L$370 / week with 5…,Mainland,13995,1520,9.21,General
~~~2048 Protected River Water Sailing Mainland Su…,Mainland,13995,2048,6.83,General
VERY RARE PROTECTED WATERFRONT,Mainland,13999,512,27.34,General
* MarkLand * 3072 sqm Beach Land for SALE or RENT…,Mainland,14441,3072,4.7,General
~ 1x Protected Sailable Seafront - Available for …,Mainland,14991,2048,7.32,General
2048 Protected Road Waterchannel Rezz Zone Mainla…,Mainland,14995,2048,7.32,General
MarkLand * Protected Hilltop Land in Alloy 1520 s…,Mainland,14999,1520,9.87,General
PROTECTED border. Spectacular ocean view 3072sqm …,Mainland,15000,3072,4.88,General
Reduced Beautiful Waterfront For Sale,Mainland,15000,1024,14.65,General
Schiphol Holdings,Mainland,15000,10240,1.46,General
1536m Water's Edge,Mainland,15000,1536,9.77,General
Severy on Rt 8 C,Mainland,15000,2224,6.74,General
Seaside,Mainland,15000,2048,7.32,General
Roadside & Waterway,Mainland,15000,1280,11.72,General
Alpha Family Estate Holdings,Mainland,15000,1536,9.77,General
~ 2x Protected LL Bridge Sailable River - Availab…,Mainland,15111,1024,14.76,General
Mainland 3072 Build Parcel,Mainland,15300,3072,4.98,General
Great Protected River view( G)~LIFE Properties  2…,Mainland,15870,2048,7.75,General
Great 2x Protected River view( G)~LIFE Properties…,Mainland,15891,1664,9.55,General
Pearl's  Whim,Mainland,15999,1024,15.62,General
2026-03-25  Land For Sale (16896 sqm),Mainland,16000,16896,0.95,General
GridEdge Snow (G)~LIFE Properties  1024 /1B,Mainland,16127,1024,15.75,General
Crisp Snow Sunrise Grid Edge (G)  1024 /1,Mainland,16127,1024,15.75,General
Protected Sunset GridEdge (G)~LIFE Properties  10…,Mainland,16127,1024,15.75,General
=G= 1x Protected Navigable Waterway - Rent L$480 …,Mainland,16931,2048,8.27,General
=G= 1x Protected Navigable Waterway - Rent L$480 …,Mainland,16931,2048,8.27,General
=G= 1x Protected Navigable Ocean View - Rent L$48…,Mainland,16991,2048,8.3,General
1024 sqm Land for SALE or RENT Beside Info Hub  B…,Mainland,17499,1024,17.09,General
3x Protected Roadside ~ Brown (G),Mainland,17500,1024,17.09,General
Protected Outlooks (G)~LIFE Properties  2048 /2A,Mainland,17510,2048,8.55,General
Great Protected Inlet views (G)~LIFE Properties  …,Mainland,17919,2048,8.75,General
Infohub Protected Beach (G)~LIFE Properties  512 …,Mainland,17920,512,35.0,General
Protected Sunset GridEdge (G)~LIFE Properties  10…,Mainland,17971,1024,17.55,General
Sunset GridEdge Snow (G)~LIFE Properties 1024 /3,Mainland,17971,1024,17.55,General
Protected Sunset GridEdge (G)~LIFE Properties  10…,Mainland,17971,1024,17.55,General
Sunset GridEdge Snow (G)~LIFE Properties  1024 /3…,Mainland,17971,1024,17.55,General
Sunset GridEdge Snow (G)~LIFE Properties   1024 /…,Mainland,17971,1024,17.55,General
=G= 1x Protected Navigable Waterway - Rent L$490 …,Mainland,17991,2048,8.78,General
Protected Water/Sailing,Mainland,18000,1536,11.72,General
Sun & Sand,Mainland,18000,2048,8.79,General
~ 1.5x Protected Sailable Island - Available for …,Mainland,18111,2048,8.84,General
- Modern Cliffside Home Overlooking Oak Hill Park,Mainland,18500,992,18.65,General
* 1984 sqm Land or Water for Sale or Rent * 681 p…,Mainland,18881,1984,9.52,General
Superb Protected Ocean Outlook (G)~LIFE Propertie…,Mainland,18995,1024,18.55,General
InfoHub Protected (G)~LIFE Properties  1024 /1b,Mainland,18995,1024,18.55,General
~ 4x Protected Sailable River Grid Edge - Availab…,Mainland,19111,896,21.33,General
SCHULZE - Water Sim,Mainland,19500,1024,19.04,General
Mystic Stars Music Venue - Kingdom For Humanity,Mainland,19600,2048,9.57,General
For Rent/Sale protected waterfront >250L$/W,Mainland,19950,1024,19.48,General
* Blake Sailable Zaitsev S6A (G) 351 Li Rent $1 u…,Mainland,19995,1024,19.53,General
~~2048 Protected Unblockable Sailing Water Mainla…,Mainland,19995,2048,9.76,General
2048 Protected Unblockable Sailing Waterfront Mai…,Mainland,19995,2048,9.76,General
Valeyard Waterfront Beach,Mainland,19999,960,20.83,General
Protected Road Mainland by Rezz Zone,Mainland,19999,2048,9.77,General
For Rent/Sale protected roadside commercial regio…,Mainland,19999,3072,6.51,General
For Rent/Sale protected New Bloom Mountain full v…,Mainland,19999,4096,4.88,General
X2 PROTECTED BEACH FRONT,Mainland,19999,2368,8.45,General
SL-Land - Protected water 3 - House rent Haus mie…,Mainland,19999,3072,6.51,General
UNBLOCKABLE WATERFRONT,Mainland,19999,2048,9.77,General
BEAUTIFUL PROTECTED WATERFRONT,Mainland,19999,2048,9.77,General
For Sale  Protected Road Front FLAT,Mainland,20000,3072,6.51,General
"Protected Roadside, 4096sqm - 1406 prim",Mainland,20000,4096,4.88,General
Roadside for sale,Mainland,20000,2048,9.77,General
2023-02-15 CutiePie4Play Starlight,Mainland,20000,1472,13.59,General
Biffle - Protected,Mainland,20000,4096,4.88,General
Protected Deepwater Oceanfront - p2,Mainland,20000,2048,9.77,General
1024 SQM 351 PRIMS,Mainland,20000,1024,19.53,General
For Sale,Mainland,20000,1024,19.53,General
Mainland Investorz,Mainland,20000,1984,10.08,General
Protected Waterway Sail Away!,Mainland,20000,2048,9.77,General
X2 PROTECTED SAILABLE WATERFRONT,Mainland,20000,3248,6.16,General
3264m,Mainland,20000,3264,6.13,General
Unnamed Parcel,Mainland,20000,2048,9.77,General
FOR SALE SERENDIPITY BAY 2048m 703 Prims PROTECTE…,Mainland,20000,2048,9.77,General
Mainland Waterfront Open Water Views,Mainland,20480,1008,20.32,General
Mainland Waterfront Open Water Views,Mainland,20480,1024,20.0,General
OWLands.com :: RENT 512sqm 120L/w 175prims,Mainland,20480,512,40.0,General
Bonus Special 2x Roadside (G)~LIFE Properties  24…,Mainland,21418,2448,8.75,General
~ 3x Protected Navigable Water Crossing - Availab…,Mainland,22111,2528,8.75,General
2048 Sqm 2x Protected Unblockable ocean Sailing a…,Mainland,22995,2048,11.23,General
Winter Home,Mainland,23000,3072,7.49,General
~~~~~~~~~~~~~~~~~Protected Roadside(G),Mainland,23475,1440,16.3,General
KANDOR,Mainland,24000,1024,23.44,General
Corsica,Mainland,24640,3520,7.0,General
0117 Marebbe 010,Mainland,24800,1024,24.22,General
Protected Bluewater Seabed - Linden Ocean Access,Mainland,24900,1024,24.32,General
=G= 1x Protected Historic Terraforming - Rent L$7…,Mainland,24991,3072,8.14,General
=G= Historic Terraforming - Rent L$750 Week ==,Mainland,24991,3072,8.14,General
B R E A K E R S,Mainland,24999,2048,12.21,General
MarkLand All Sides Protected Riverside Land for S…,Mainland,24999,2560,9.77,General
FOR SALE,Mainland,25000,1024,24.41,General
PROTECTED STAIGHT SQUARE ROAD ROUTE 8D,Mainland,25000,4096,6.1,General
for sale protected land ocean,Mainland,25000,1024,24.41,General
For Sale!,Mainland,25000,4096,6.1,General
FOR SALE 2048 SM 703 Prim 25000 L$,Mainland,25000,2048,12.21,General
FOR SALE 2048 SM 703 Prim 25000 L$,Mainland,25000,2048,12.21,General
pretty beach area 2023-01-24,Mainland,25000,1024,24.41,General
PROTECTED GRASS WITH VIEWS,Mainland,25000,2048,12.21,General
Schiphol Holdings,Mainland,25000,21200,1.18,General
Protected Deepwater Oceanfront - p1,Mainland,25000,2048,12.21,General
FOR RENT DRIFTWOOD DREAMS 2048m 703p PROTECTED OC…,Mainland,25000,2048,12.21,General
1FM Blues http://64.62.194.11:8030,Mainland,25000,2048,12.21,General
pretty beach area 2023-01-24,Mainland,25000,1024,24.41,General
~~~~~~~~~~~~~~~~~Protected Roadside(G),Mainland,25000,1536,16.28,General
Missing Beckett - Blake Sea Access - Rented,Mainland,25000,512,48.83,General
Blossoms,Mainland,25000,2816,8.88,General
+++URBAN MANSION+++,Mainland,25500,8208,3.11,General
~ 1x Protected Navigable Historic 40/40 - Availab…,Mainland,27111,2048,13.24,General
~ 1x Protected Navigable Historic 40/40 - Availab…,Mainland,27111,2048,13.24,General
Ice Age Industries,Mainland,27400,512,53.52,General
2x Protected Waterway Nice!  www.pansland.com,Mainland,27598,2768,9.97,General
~ 1x Protected Sailable Seafront - Available for …,Mainland,27799,4096,6.79,General
"Poliahu (186,78) General 1024m",Mainland,28000,1024,27.34,General
Bonus Road Protected Beauty (G)~LIFE Properties  …,Mainland,28089,2432,11.55,General
InfoHub Protected with Beach (G)~LIFE Properties …,Mainland,28211,1024,27.55,General
Thyris 4 - House For rent - Protected Waterway Sa…,Mainland,29999,3040,9.87,General
Knoxsire Beach  FOR SALE,Mainland,29999,2048,14.65,General
TERA HOME,Mainland,30000,1024,29.3,General
RARE PROTECTED WATERFRONT,Mainland,30000,2048,14.65,General
Adelita's Cocina Mexicana and Cantina,Mainland,30000,1024,29.3,General
~~ashlie-lands.com~~ RENTAL $200L/week,Mainland,30000,1024,29.3,General
For Sale - Full Sim 30k L,Mainland,30000,65536,0.46,General
Brianna y Alex Island,Mainland,30000,1408,21.31,General
"Bay of Space Pigs Access 30,000",Mainland,30000,1648,18.2,General
SALE!!! - Sunfall Cottage  (Sunset  Protected Vie…,Mainland,30000,1024,29.3,General
Flowetic Devine 31999L 1760m  604Li 3x Roadside T…,Mainland,31999,1760,18.18,General
FOR SALE!,Mainland,32000,15680,2.04,General
Land for sale!,Mainland,32768,32768,1.0,General
OWLands.com :: RENT 1024sqm 240L/w 351prims,Mainland,33280,1024,32.5,General
Protected Ocean for SALE or RENT Sunrise Views * …,Mainland,34999,2048,17.09,General
Protected Ocean for SALE or RENT Sunrise Views 20…,Mainland,34999,2048,17.09,General
Protected Ocean for SALE or RENT Sunrise Views 20…,Mainland,34999,2048,17.09,General
Twins,Mainland,35000,1024,34.18,General
Peppy's Corner,Mainland,35000,1024,34.18,General
//////// SALE  \\\\\\\\  Ideal for houseboats,Mainland,35000,1536,22.79,General
FOR SALE - Ocean Views 1024 sq m land with 351 Pr…,Mainland,35000,1024,34.18,General
OWLands.com :: RENT 1024sqm 240L/w 351prims,Mainland,35840,1024,35.0,General
~ LP Estate ~,Mainland,35999,1024,35.16,General
~ 2x Protected Sailable Seafront - Available for …,Mainland,36111,2480,14.56,General
For Rent/Sale protected Hyannisport InfoHub >500L…,Mainland,39900,2048,19.48,General
For Rent/Sale protected Hyannisport InfoHub >500L…,Mainland,39900,2048,19.48,General
Casa do Fernnando - {{Afaste-se!}}  Voce nao e be…,Mainland,39900,1584,25.19,General
For Rent/Sale long protected waterfront >500L$/W,Mainland,39900,2048,19.48,General
roadside and sea,Mainland,39990,2112,18.93,General
"PREMIUM LAND AVAILABLE - $40,000L - SIZE: 17280 -…",Mainland,40000,17280,2.31,General
Pretty beach for sale! Find your new home in Swan…,Mainland,40000,2208,18.12,General
Fair Winds,Mainland,40000,1840,21.74,General
FOR SALE/RENT : ROAD & WATER PROTECTED,Mainland,42000,4096,10.25,General
Dayia Beach Home,Mainland,42000,2048,20.51,General
3x Protected Roadside & Waterfront ~ Brown (G),Mainland,42500,2048,20.75,General
Superb Protected Ocean Outlook (G)  2816 /1BaX,Mainland,42943,2816,15.25,General
Choxx's  Place,Mainland,43000,16384,2.62,General
Bonus Infohub Protected Beach (G)~LIFE Properties…,Mainland,44647,2544,17.55,General
For Rent/Sale protected sailable water next to Da…,Mainland,44900,512,87.7,General
SL-LAND - Villa in the Edge of the world - FOR SA…,Mainland,45000,4096,10.99,General
Land for sale!,Mainland,45000,65280,0.69,General
Cairo Palace - Where Gods Rule the Night.,Mainland,47500,4096,11.6,General
Classic Protected 80m Terraform (G)  4096 /1D,Mainland,48127,4096,11.75,General
Thyris 2 - House 105 + 250 Prims  for rent  fully…,Mainland,49000,3840,12.76,General
* Bertaggia Dusio I1 Inland Water (G) For Sale *,Mainland,49214,4032,12.21,General
5120m Protected Navegable Oceanfront for SALE,Mainland,49750,5120,9.72,General
* Bertaggia Dusio I2 Inland Water (G) For Sale *,Mainland,49995,4096,12.21,General
* Bertaggia Dusio I3 Inland Water (G) For Sale *,Mainland,49995,4096,12.21,General
SL-Land - Thyris - Pool House for rent - fully fu…,Mainland,49999,1536,32.55,General
Volcano View Lava Clifftop,Mainland,49999,512,97.65,General
"Caldbeck (168,224) General 3072m",Mainland,50000,3072,16.28,General
Shabby Apple,Mainland,50000,1120,44.64,General
PROTECTED OCEANFRONT FULL WATER SIM ACCESS + RIVER,Mainland,50000,1024,48.83,General
"Caldbeck (168,224) General 3072m",Mainland,50000,3072,16.28,General
Land for sale - fishing hut,Mainland,50000,1280,39.06,General
Blah,Mainland,50000,8192,6.1,General
For Sale: 1024 sqm Oceanfront Square Parcel,Mainland,50000,1024,48.83,General
Sands Of Time,Mainland,50000,8192,6.1,General
OWLands.com :: RENT 1024sqm 350L/w 351prims,Mainland,51200,1024,50.0,General
Bonus Protected Sunset Grid Edge  (G)~LIFE Proper…,Mainland,51479,5280,9.75,General
Classic Protected 80m Terraform (G)  4096 /1E,Mainland,52223,4096,12.75,General
GF,Mainland,52450,960,54.64,General
~ 4x Protected Sailable Island Grid Edge - Availa…,Mainland,54111,2688,20.13,General
Blake Sailable Sunrise Views,Mainland,55000,4032,13.64,General
Private Villas  For Sale with great water view!,Mainland,57000,7408,7.69,General
* Bertaggia Dusio I4 Inland Beach and Water (G) F…,Mainland,59995,4096,14.65,General
Protected Water in Valeyard!,Mainland,59999,4096,14.65,General
CHOMO HOUSE parcel for SALE,Mainland,60000,2048,29.3,General
